epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,adaptor_loss_ssim,adaptor_loss_psnr,adaptor_loss_ber,duration
228,0.0461,0.0071,0.0829,0.0932,10.4477,0.0001,0.0001,0.0989,99.4460,0.2202,236
229,0.0458,0.0073,0.0821,0.0915,10.3918,0.0002,0.0002,0.1007,99.4486,0.2191,237
230,0.0453,0.0072,0.0813,0.0907,10.7374,0.0003,0.0003,0.0983,99.4468,0.2177,235
231,0.0452,0.0072,0.0811,0.0906,10.9021,0.0001,0.0001,0.0977,99.4469,0.2175,236
232,0.0448,0.0073,0.0803,0.0889,9.9470,0.0052,0.0034,0.0989,99.4480,0.2159,236
233,0.0444,0.0073,0.0793,0.0873,10.8617,0.0001,0.0002,0.0991,99.4482,0.2140,235
234,0.0441,0.0072,0.0787,0.0867,11.6890,0.0007,0.0010,0.0971,99.4469,0.2129,236
235,0.0436,0.0072,0.0778,0.0849,11.1393,0.0002,0.0002,0.0971,99.4469,0.2112,237
236,0.0437,0.0073,0.0777,0.0848,11.8794,0.0017,0.0013,0.0993,99.4484,0.2111,238
237,0.0436,0.0072,0.0778,0.0856,10.9961,0.0001,0.0001,0.0984,99.4469,0.2109,235
238,0.0436,0.0071,0.0778,0.0856,11.2186,0.0001,0.0001,0.0972,99.4465,0.2110,236
239,0.0434,0.0071,0.0775,0.0856,11.5362,0.0000,0.0000,0.0975,99.4457,0.2104,237
240,0.0433,0.0070,0.0772,0.0846,11.9893,0.0000,0.0001,0.0967,99.4454,0.2097,237
241,0.0430,0.0070,0.0765,0.0837,12.6588,0.0000,0.0000,0.0968,99.4447,0.2086,235
242,0.0432,0.0071,0.0770,0.0838,11.9186,0.0001,0.0001,0.0977,99.4459,0.2094,237
243,0.0434,0.0071,0.0771,0.0844,12.7852,0.0000,0.0000,0.0977,99.4458,0.2094,236
244,0.0432,0.0070,0.0769,0.0841,12.6519,0.0000,0.0000,0.0969,99.4451,0.2092,236
